,A,B,C,D,E,F,G,H,I,J
665,110.62,386.57,66.07,58.67,58.17,14.74,38.17,66.54,35.28,77.71
666,109.44,386.02,66.44,57.72,59.49,14.54,37.83,66.09,35.15,78.25
667,110.41,386.03,65.52,57.89,57.35,14.27,37.86,68.47,35.84,77.05
668,109.69,387.9,66.19,57.47,57.46,13.75,37.28,65.65,36.44,74.99
669,110.64,385.28,67.69,57.51,57.69,13.86,37.47,66.37,35.97,75.8
670,110.61,383.82,68.68,57.47,59.72,13.66,37.28,68.33,36.2,77.87
671,110.86,388.16,68.67,57.72,58.38,13.62,37.52,70.86,36.07,75.99
672,111.75,388.74,71.03,57.75,59.0,13.76,37.81,65.73,36.42,77.81
673,110.76,378.15,71.87,57.57,59.15,13.77,37.86,66.28,36.23,79.46
674,111.96,376.6,71.43,58.86,59.84,14.09,38.15,66.16,37.75,79.26
675,113.66,373.91,69.86,60.47,60.54,14.43,38.74,64.84,37.78,79.82
676,113.76,379.21,69.32,59.77,60.54,14.45,39.05,62.64,38.72,81.84
677,114.17,374.02,68.89,58.77,59.69,14.5,38.94,59.24,38.53,80.68
678,112.92,371.74,68.05,56.94,59.09,14.34,37.82,61.37,38.92,81.26
679,113.59,375.48,66.28,57.4,58.39,14.57,37.96,61.86,39.31,78.16
680,113.66,376.13,66.34,57.7,59.6,14.47,37.49,59.9,39.5,79.93
681,110.68,364.45,65.0,55.67,59.18,13.87,36.54,57.82,38.85,80.84
682,111.55,364.78,64.89,56.17,57.4,13.84,37.01,58.13,38.35,80.95
683,112.14,361.47,66.02,56.88,56.83,13.96,36.63,60.23,38.76,79.36
684,113.31,363.52,66.19,57.24,56.1,14.18,36.94,60.42,38.47,78.25
685,115.74,367.04,65.63,57.2,55.97,14.46,37.87,59.66,38.42,75.54
686,118.0,378.5,65.34,58.57,56.2,14.95,38.55,61.66,38.51,75.47
687,119.66,374.33,64.81,59.79,57.34,15.62,39.91,63.63,38.39,77.1
688,118.1,381.32,64.53,59.52,57.4,15.62,39.98,61.34,38.08,75.35
689,118.37,381.09,64.85,58.91,58.25,15.76,39.79,63.21,38.39,80.58
690,119.8,380.23,64.1,59.48,58.91,15.57,39.82,62.19,38.75,82.52
691,120.93,380.18,63.02,59.53,59.69,15.94,40.08,63.34,39.14,82.52
692,118.12,374.75,63.22,60.67,61.36,15.95,40.09,65.58,39.95,85.37
693,122.21,378.6,63.68,62.07,60.71,16.3,41.0,66.09,40.38,82.7
694,122.36,381.18,64.14,61.47,60.57,16.1,40.8,64.58,40.51,85.33
695,122.28,382.45,63.79,61.02,59.99,15.97,40.5,65.94,40.25,86.18
696,126.2,376.39,63.4,64.57,60.54,16.8,42.34,68.01,40.05,86.08
697,128.91,373.31,62.72,67.56,60.66,17.39,43.61,66.36,40.56,87.96
698,130.25,376.74,61.96,67.93,59.39,17.59,43.75,66.4,41.91,87.37
699,130.53,376.5,62.52,68.87,58.57,17.5,44.17,68.23,41.65,86.36
700,131.33,372.21,62.11,69.37,57.85,17.26,43.76,69.78,41.62,85.9
701,129.77,370.81,63.08,68.88,60.01,16.74,42.58,71.43,41.34,87.77
702,130.35,374.81,64.16,68.12,62.24,16.58,42.46,68.38,41.2,92.0
703,127.65,364.03,63.76,67.75,62.25,16.25,41.91,66.05,40.99,89.05
704,125.77,364.67,64.07,67.37,64.97,16.42,41.37,66.91,40.51,92.8
705,123.48,364.8,64.01,66.24,61.98,15.67,40.49,65.55,41.13,87.53
706,121.71,372.2,64.5,65.37,61.26,15.6,40.2,64.04,42.24,85.08
707,123.24,372.94,65.23,65.72,62.04,15.64,40.3,60.78,41.76,83.98
708,129.77,382.38,65.74,68.36,63.72,16.85,42.74,62.0,42.34,85.98
709,124.36,377.05,64.16,64.95,59.06,15.72,40.05,64.17,40.5,77.31
710,124.58,381.16,64.86,63.88,58.26,15.71,40.06,66.36,40.72,74.73
711,125.49,387.53,64.94,64.79,59.4,16.15,40.54,68.39,40.64,74.25
712,125.94,379.28,65.49,64.58,58.91,16.19,40.17,70.61,40.84,74.77
713,128.67,382.24,66.18,66.91,58.89,16.67,41.4,69.55,41.61,75.28
714,130.24,378.6,65.98,68.23,57.89,17.15,42.08,71.48,41.77,75.34
715,130.76,381.56,66.43,67.57,58.0,16.82,41.98,72.24,41.39,75.84
716,130.81,378.92,67.12,66.68,59.68,16.6,42.23,72.72,40.84,78.17
717,129.78,378.32,66.13,65.64,59.01,16.63,42.38,70.63,41.42,76.51
718,129.47,375.25,66.02,65.16,58.78,16.23,42.07,73.21,41.88,76.24
719,129.99,370.11,65.28,65.32,58.24,16.08,42.3,71.93,41.82,77.61
720,128.85,363.02,64.62,65.26,58.79,15.98,41.88,70.12,40.89,76.04
721,130.02,365.06,63.78,65.83,60.53,16.02,41.75,72.29,40.74,76.17
722,124.69,365.48,63.91,62.94,61.23,15.2,40.24,73.12,40.94,77.29
723,122.86,360.63,63.4,63.16,60.08,15.13,39.59,74.55,40.57,77.65
724,123.27,360.1,63.54,63.47,59.11,15.17,40.17,74.77,40.68,76.23
725,124.38,366.53,63.18,64.36,57.6,15.4,40.28,72.75,40.81,73.03
726,122.95,362.39,63.65,64.31,57.74,15.29,40.52,74.16,41.48,73.65
727,122.81,364.73,63.7,63.14,56.01,15.37,40.16,74.34,41.16,71.11
728,125.06,363.33,63.94,63.22,56.61,15.48,40.43,75.84,41.05,71.86
729,127.19,363.32,63.87,64.59,56.16,16.06,41.34,78.02,40.99,70.9
730,125.05,364.79,65.21,64.93,55.54,15.85,41.03,79.65,42.37,71.04
731,125.6,361.39,63.76,65.39,54.04,15.79,41.69,81.45,41.59,67.99
732,123.55,354.01,64.1,63.12,53.83,14.88,40.02,82.08,41.01,68.41
733,123.46,348.43,63.33,63.55,53.87,15.05,40.05,84.39,41.89,68.33
734,118.92,344.61,64.2,61.71,55.9,14.44,39.08,84.61,41.08,70.64
735,121.49,342.32,63.86,62.98,56.92,15.09,39.44,85.62,40.42,71.09
736,115.57,331.29,65.01,61.57,56.76,14.42,38.05,84.41,39.49,71.29
737,110.29,328.8,64.32,58.1,56.02,13.51,36.33,87.49,38.95,69.6
738,111.61,331.39,65.99,60.53,57.82,13.76,37.1,86.61,39.14,75.34
739,112.71,324.99,65.57,60.67,57.83,13.77,37.54,86.53,39.63,74.81
740,112.4,332.93,64.76,60.6,56.38,13.97,37.27,86.0,39.71,73.03
741,112.35,330.15,64.43,60.14,56.4,13.82,37.19,89.67,39.09,71.42
742,110.8,332.04,63.69,60.17,56.32,13.85,37.53,89.28,39.79,70.38
743,106.28,322.83,63.49,58.03,55.17,13.57,36.74,84.65,39.02,71.03
744,106.85,318.8,63.24,57.33,55.64,13.62,36.77,84.73,38.67,72.23
745,107.55,322.35,63.46,56.16,55.71,13.53,36.82,81.17,39.18,72.25
746,107.65,330.69,64.07,56.34,55.1,12.93,35.85,82.34,39.7,70.23
747,110.61,329.47,64.0,56.58,55.35,13.01,35.72,80.59,39.09,69.2
748,112.0,327.41,63.34,56.91,54.55,13.07,36.21,79.16,38.47,68.11
749,110.7,323.97,63.29,56.15,55.69,12.9,35.22,73.61,38.14,70.13
750,111.68,325.69,64.03,56.81,56.66,12.75,35.44,70.26,37.61,70.53
751,113.68,323.69,63.14,56.13,55.86,12.73,35.39,71.95,37.82,71.62
752,109.02,318.82,62.03,54.07,55.96,12.19,34.31,74.49,36.48,71.42
753,105.24,308.72,61.15,53.17,56.58,11.54,33.38,75.15,35.76,71.34
754,106.35,304.95,60.14,52.84,57.57,11.62,33.32,74.87,35.82,72.78
755,106.58,304.18,60.46,53.43,57.85,11.69,33.6,65.87,36.64,75.38
756,109.7,301.27,61.7,53.47,58.8,11.87,34.14,67.59,36.17,77.02
757,110.23,299.04,61.53,53.52,59.3,11.9,34.06,65.31,35.53,77.33
758,109.63,302.99,61.09,53.83,59.15,11.58,34.18,62.41,35.29,75.07
759,110.25,304.16,60.6,54.19,57.13,11.68,34.7,62.22,35.55,73.55
760,109.86,303.41,60.66,54.17,57.31,11.82,34.51,63.82,35.22,73.06
761,110.17,300.56,61.06,54.53,59.33,11.87,34.61,66.01,35.79,74.34
762,112.14,306.23,60.04,55.18,58.86,11.91,34.88,65.46,36.15,72.67
763,111.18,308.09,62.06,55.55,58.98,11.83,34.7,65.76,36.74,73.96
764,109.66,309.72,61.72,54.25,59.2,11.67,33.79,64.95,35.88,75.6
765,109.64,311.58,61.71,54.9,57.91,11.69,33.95,64.86,35.77,75.47
766,107.91,307.48,62.36,54.48,59.37,11.43,33.58,66.66,34.81,76.08
767,108.67,304.62,63.96,54.06,59.25,11.37,33.3,66.53,35.57,78.39
768,102.42,302.17,63.78,50.76,59.83,10.68,31.41,67.21,34.73,79.61
769,101.83,293.12,62.29,51.71,59.85,10.84,31.6,64.29,33.89,80.69
770,106.1,295.34,62.33,53.67,59.85,11.34,33.11,64.2,34.45,80.57
771,108.83,296.75,62.29,53.76,62.47,11.15,33.45,64.96,33.98,82.04
772,108.46,290.1,63.17,54.22,64.73,11.63,33.48,66.21,33.81,87.1
773,109.74,293.39,62.79,54.36,64.2,11.61,33.32,65.45,34.7,86.39
774,110.72,299.34,62.63,55.17,62.91,11.26,33.63,67.34,35.57,82.9
775,111.97,296.29,62.92,55.93,64.09,11.64,33.98,66.36,35.93,83.2
776,108.14,289.08,61.21,53.77,61.37,10.68,32.37,65.86,35.61,80.85
777,107.15,285.5,62.19,52.3,62.47,10.29,31.37,61.04,35.16,81.06
778,106.09,284.33,61.56,51.21,61.76,10.13,31.34,61.12,34.98,81.16
779,106.37,290.93,62.54,51.92,62.21,9.92,31.62,61.36,34.81,80.34
780,108.06,295.11,63.79,52.59,62.99,10.0,31.87,60.52,35.15,81.07
781,108.24,288.98,63.06,53.06,62.62,10.17,31.97,61.85,34.66,77.95
782,109.51,290.04,62.01,54.47,62.96,10.39,33.02,64.37,34.83,78.28
783,108.3,283.44,59.59,53.48,63.37,10.45,32.79,64.9,35.09,78.93
784,110.4,287.29,59.17,54.69,63.37,10.81,33.6,67.33,34.96,78.83
785,111.84,289.01,60.09,54.66,63.96,10.5,33.24,67.26,35.2,81.57
786,112.37,290.54,60.54,54.28,61.79,10.57,33.19,69.41,34.94,76.3
787,112.94,295.31,60.34,53.94,59.68,10.49,33.02,71.28,34.5,73.22
788,114.02,297.84,62.03,53.71,59.48,10.62,33.37,70.93,34.48,74.36
789,113.46,300.51,62.12,54.79,59.57,10.6,33.55,72.79,34.26,73.94
790,114.43,291.29,61.51,54.96,61.36,10.89,33.52,75.85,34.28,74.91
791,116.24,292.3,63.21,56.33,60.69,11.42,34.41,78.85,34.31,75.28
792,115.54,292.72,64.71,55.93,60.47,11.39,34.1,79.32,34.77,74.13
793,119.39,295.15,64.87,56.62,59.17,11.73,34.61,80.37,35.07,74.4
794,117.63,285.05,62.61,56.9,59.15,11.63,33.95,83.31,33.98,75.04
795,117.8,281.92,62.32,56.4,60.11,11.8,34.24,86.42,33.23,74.88
796,113.49,275.35,62.75,54.94,58.98,11.5,33.13,88.69,33.02,74.95
797,110.01,275.33,62.79,52.04,60.06,10.97,31.87,85.99,33.16,76.78
798,111.33,274.05,62.14,52.84,59.49,11.01,32.27,87.33,33.48,76.76
799,114.7,271.33,61.91,53.85,60.44,11.18,33.02,90.48,32.49,77.92
800,114.13,271.84,62.22,53.5,61.43,11.01,33.16,93.13,33.69,78.77
801,118.46,275.16,61.36,54.69,62.18,11.23,33.21,91.09,33.85,79.19
802,119.51,275.94,60.93,54.62,59.26,11.12,33.22,88.73,33.86,74.77
803,119.73,274.15,60.99,54.9,60.01,11.13,33.12,90.31,33.48,74.83
804,118.6,270.22,61.92,55.5,61.15,11.42,33.23,91.24,33.21,75.83
805,118.18,265.04,61.44,56.03,60.97,11.72,33.75,91.76,33.45,75.52
806,114.2,256.77,60.3,54.77,60.46,11.19,32.66,90.68,32.55,73.9
807,113.91,252.61,60.0,54.6,61.98,11.18,32.9,92.13,32.74,75.24
808,111.33,250.12,59.8,53.82,61.91,10.96,32.39,94.01,32.97,76.78
809,112.1,248.92,59.77,54.2,60.33,10.85,32.29,94.05,32.13,74.44
810,112.74,254.09,59.7,54.49,60.31,10.88,32.27,92.83,32.57,74.99
811,113.77,255.42,60.11,55.89,61.39,10.97,32.6,93.29,32.98,76.95
812,108.53,248.95,59.47,53.42,60.71,10.22,30.84,93.66,32.63,76.03
813,109.08,247.02,58.48,53.14,59.06,10.28,31.03,97.29,32.58,76.07
814,109.76,245.74,58.49,53.3,58.74,10.28,31.24,99.28,32.27,75.37
815,110.06,234.85,56.58,54.75,58.39,10.82,31.42,102.57,31.39,76.04
816,112.46,233.94,55.73,54.95,57.51,10.74,31.03,104.19,31.29,75.15
817,112.74,232.34,54.19,54.19,55.55,10.63,31.05,96.4,31.53,71.22
818,114.05,232.16,54.5,55.53,56.28,11.28,32.14,96.32,31.14,71.89
819,113.6,231.62,55.02,55.91,55.66,11.65,32.39,96.25,31.19,69.12
820,115.23,231.65,55.16,55.98,56.21,11.78,32.25,95.94,31.43,69.02
821,116.69,237.03,53.56,55.48,53.8,11.65,32.54,97.89,30.99,67.05
822,111.12,233.99,53.81,52.76,52.72,10.86,31.0,101.28,30.52,66.39
823,110.06,230.9,53.73,52.43,52.16,10.69,30.76,103.34,30.33,65.4
824,109.88,231.86,53.87,52.11,52.08,10.56,30.63,107.01,30.23,66.2
825,110.69,235.08,54.57,52.02,54.23,10.56,30.89,106.91,30.16,69.88
826,115.64,235.88,54.51,53.73,53.57,11.29,32.37,109.25,29.57,69.24
827,113.81,233.29,54.5,52.99,53.21,11.09,32.22,112.09,29.43,69.04
828,112.22,231.73,53.61,53.86,54.73,10.98,31.88,109.14,29.31,69.86
829,109.48,235.11,53.84,53.39,53.0,10.72,31.5,108.02,29.22,68.32
830,108.97,235.38,53.09,53.57,50.84,10.7,31.32,102.24,28.94,66.51
831,105.95,237.47,53.63,52.91,50.78,10.59,30.75,106.23,28.81,67.73
832,106.01,240.15,54.06,53.04,51.83,10.59,30.51,109.74,28.88,67.2
833,105.47,233.0,53.29,52.85,53.24,10.67,30.57,114.23,28.3,70.76
834,101.23,232.76,54.4,50.39,53.41,10.27,29.24,110.91,27.68,69.8
835,97.28,230.54,55.26,47.92,51.93,9.73,27.87,114.41,26.83,68.77
836,97.58,234.36,55.84,47.1,53.33,9.55,27.6,117.52,27.34,72.07
837,100.64,231.41,55.51,49.85,53.81,10.22,29.48,120.23,27.45,71.92
838,101.62,230.02,56.58,50.59,54.55,10.26,29.99,124.34,27.31,72.64
839,101.47,229.8,56.93,50.95,53.93,10.18,29.93,126.0,27.05,73.78
840,102.48,232.47,57.59,49.68,52.87,9.84,29.41,124.51,27.26,72.55
841,103.19,238.02,57.85,49.4,53.23,9.76,29.37,124.53,27.61,74.19
842,102.23,238.52,57.97,49.56,53.35,9.77,29.87,121.69,27.37,75.69
843,107.55,239.42,57.84,52.18,52.44,10.47,31.96,120.02,27.71,74.44
844,106.12,237.02,57.23,51.73,53.66,10.43,31.8,119.26,27.52,75.69
845,105.88,240.34,56.55,52.1,53.92,10.35,31.93,120.61,27.38,75.85
846,106.88,243.45,56.35,53.12,51.95,10.29,32.18,123.13,27.55,73.38
847,104.51,245.97,57.03,51.9,51.14,9.8,31.42,122.25,27.16,72.44
848,107.05,248.28,57.62,53.9,50.13,9.95,32.29,124.38,27.14,69.82
849,105.11,247.52,57.8,54.37,49.29,9.78,31.96,129.43,27.21,70.07
850,105.32,248.73,58.01,53.96,49.5,9.87,31.95,122.36,27.39,70.47
851,106.11,252.08,57.77,54.06,48.98,10.03,32.11,123.11,27.59,69.92
852,107.08,245.8,57.04,54.37,48.15,10.0,32.27,119.15,27.7,68.7
853,108.58,247.1,55.95,54.23,47.51,10.18,32.65,119.63,27.79,67.94
854,108.05,251.08,57.07,54.04,46.69,10.25,32.64,121.94,28.27,65.79
855,107.94,252.27,58.49,53.5,46.89,9.7,31.78,122.61,28.66,66.58
856,110.33,254.06,59.98,54.36,46.85,9.96,32.77,122.97,28.81,70.29
857,113.0,255.41,60.73,54.7,47.56,9.94,32.64,121.69,28.97,70.25
858,114.28,260.11,62.52,56.33,47.6,10.21,33.5,122.39,29.38,70.65
859,113.27,262.43,62.45,55.78,47.0,10.1,33.34,127.33,28.88,69.43
860,114.38,261.01,62.62,57.14,48.78,10.31,33.8,121.5,28.46,70.39
861,112.54,264.61,63.55,55.56,48.34,9.69,32.35,117.59,28.44,71.01
862,112.45,265.77,63.09,55.56,49.0,9.62,32.51,121.79,28.12,70.98
863,112.9,265.85,61.9,56.12,48.6,9.74,32.84,127.37,28.16,68.79
864,113.04,265.95,61.27,55.9,47.36,9.72,32.44,130.21,28.08,66.69
865,111.56,261.4,61.28,55.3,46.9,9.61,31.9,131.11,28.26,67.89
866,111.36,262.4,61.01,54.81,45.5,9.36,31.63,133.06,27.63,66.61
867,111.17,266.1,61.61,53.61,46.41,9.02,31.13,131.35,28.11,65.7
868,109.16,262.9,61.33,52.34,48.17,8.87,30.34,132.32,28.1,68.63
869,107.59,262.43,61.45,51.98,50.43,8.73,30.44,129.3,27.95,73.0
870,108.27,263.42,61.09,52.48,51.65,8.76,31.14,130.64,27.8,74.27
871,105.7,267.14,61.12,51.5,52.39,8.71,30.29,132.15,27.64,72.53
872,105.89,266.64,61.04,51.26,52.94,8.94,30.36,134.2,27.39,72.26
873,106.21,262.4,61.21,50.59,53.59,8.75,30.47,137.49,27.65,72.46
874,108.09,264.98,61.92,50.37,53.05,8.76,30.35,141.05,26.92,71.95
875,108.59,268.45,63.2,50.15,55.52,8.82,30.24,145.06,27.36,75.66
876,107.93,264.51,62.8,50.71,55.92,8.95,30.64,146.25,27.07,79.15
877,106.59,264.14,63.56,50.34,56.02,8.95,30.34,139.77,26.59,79.32
878,109.16,267.61,62.01,50.83,54.94,8.95,30.55,138.92,26.2,78.38
879,111.88,264.75,61.63,52.21,53.41,9.0,31.12,141.84,26.2,74.88
880,114.81,267.0,62.19,53.85,53.3,9.46,32.27,145.36,26.64,75.35
881,114.87,263.59,59.9,54.68,51.79,9.57,32.69,148.8,26.55,74.52
882,113.5,256.6,58.75,52.7,51.89,9.18,32.0,152.85,26.11,76.79
883,112.74,257.15,57.6,52.26,52.7,9.09,31.91,156.21,26.31,78.13
884,111.96,255.22,56.92,50.82,51.22,8.9,30.83,152.37,25.6,75.2
885,109.86,256.27,57.71,49.24,52.03,8.51,30.09,151.8,25.04,76.8
886,105.45,255.37,58.12,47.1,52.49,7.97,28.52,156.41,24.16,76.83
887,106.25,251.84,58.64,47.75,52.59,7.96,28.34,157.68,24.28,78.27
888,107.82,259.3,58.29,48.91,54.73,8.05,29.06,152.12,24.34,79.73
889,109.42,263.45,58.49,49.12,54.28,8.15,29.06,151.92,24.4,78.59
890,109.84,270.8,58.39,49.11,53.95,8.1,29.21,156.14,24.44,77.06
891,107.27,267.77,57.63,47.52,54.56,7.93,28.67,142.23,24.18,75.97
892,108.28,265.07,58.34,47.88,55.33,7.99,28.88,143.66,23.92,76.09
893,111.06,267.54,58.14,48.55,55.89,8.2,29.77,147.05,23.88,76.47
894,111.81,269.92,58.03,48.83,55.03,8.26,29.76,143.24,23.94,75.2
895,111.6,261.21,55.85,49.03,55.31,8.38,29.67,144.86,23.08,74.98
896,112.13,264.69,55.91,49.12,56.63,8.62,30.18,141.57,23.12,75.71
897,115.18,265.75,54.82,50.86,55.12,9.19,31.29,139.69,23.49,73.36
898,114.95,260.82,54.62,52.05,54.35,9.21,31.23,136.24,23.48,71.63
899,115.2,263.26,54.11,52.76,54.25,9.18,31.07,139.17,23.59,72.65
900,118.26,263.7,54.27,53.59,54.89,9.37,31.39,136.29,23.85,73.54
901,121.48,261.63,56.08,54.02,54.85,9.59,32.63,128.53,23.84,72.41
902,122.27,260.14,56.66,53.88,55.79,9.62,32.93,123.81,24.03,72.96
903,123.61,254.85,58.73,54.45,55.52,9.61,32.76,116.69,23.87,72.54
904,123.45,253.55,60.3,54.52,54.2,9.51,32.6,116.38,24.01,71.44
905,125.67,257.41,59.68,55.26,55.05,9.78,33.38,120.31,23.94,73.3
906,127.02,259.93,59.94,55.37,54.59,9.89,33.91,119.91,24.11,72.25
907,129.24,266.99,60.21,55.6,54.7,9.9,34.26,117.74,24.52,72.63
908,127.88,264.04,60.8,54.18,55.53,10.01,34.37,119.72,24.58,75.63
909,127.27,256.55,59.94,54.42,55.69,10.08,34.32,118.2,24.17,76.51
910,126.34,253.91,61.0,55.0,56.04,10.06,34.19,119.26,23.91,79.44
911,121.94,251.63,60.1,52.88,55.79,9.55,32.94,115.56,23.87,79.33
912,123.95,257.1,60.14,53.03,55.49,9.51,33.01,112.86,24.01,77.19
913,122.98,257.33,60.17,52.08,56.59,9.31,31.84,110.83,23.39,78.22
914,127.83,264.15,60.58,53.4,57.62,9.5,32.87,111.06,24.02,81.28
915,129.96,262.93,60.41,54.99,58.21,9.73,33.56,106.62,24.05,80.48
916,137.74,264.55,60.59,58.08,58.53,10.4,35.41,107.82,24.4,80.68
917,137.07,259.66,59.82,58.36,58.13,10.54,35.26,110.45,24.03,82.13
918,134.36,256.08,60.52,56.61,59.64,10.11,34.43,114.05,23.75,85.91
919,134.67,255.38,61.73,56.61,60.89,10.03,33.9,118.4,23.6,87.95
920,135.78,257.2,61.42,58.89,61.61,10.37,34.41,123.15,23.72,88.23
921,134.69,255.35,61.14,59.25,64.23,10.37,34.66,120.54,24.05,92.58
922,138.04,262.74,61.72,61.51,63.89,10.54,35.73,125.04,24.18,92.82
923,136.31,262.68,62.13,61.01,62.03,10.46,35.44,124.63,23.94,90.12
924,134.72,263.48,62.76,60.45,63.38,10.24,34.77,127.73,23.92,95.61
925,134.67,261.58,62.19,60.81,63.9,10.34,34.81,128.79,23.34,95.6
926,132.69,260.45,62.65,60.68,65.1,10.41,35.04,125.07,23.41,95.29
927,129.76,257.05,62.95,58.85,65.88,9.87,34.07,121.61,23.1,97.17
928,130.45,256.88,63.79,60.44,68.9,10.0,34.91,114.5,23.02,99.5
929,125.52,256.28,64.28,59.73,66.41,9.76,33.96,114.99,23.14,95.79
930,126.35,260.6,64.21,60.21,65.88,10.23,34.69,116.83,23.48,96.25
931,126.56,258.03,64.72,60.29,67.29,10.22,34.79,119.44,23.68,98.03
932,127.31,266.48,65.58,61.74,67.82,10.21,35.64,122.68,24.41,102.36
933,129.71,259.54,65.79,62.11,69.67,10.54,36.16,126.35,24.28,106.04
934,130.52,257.97,65.24,62.37,69.98,10.76,36.61,131.45,24.4,102.61
935,130.16,261.39,64.71,62.92,70.93,10.81,36.85,131.57,24.36,101.67
936,130.78,264.97,64.12,63.1,69.76,10.81,37.46,134.05,24.66,97.15
937,130.35,262.81,63.88,62.64,69.29,10.91,37.52,139.38,24.66,94.71
938,126.64,263.08,64.84,62.59,71.22,10.89,36.96,139.79,24.59,98.62
939,124.23,256.94,63.05,62.37,72.3,10.68,36.37,144.94,24.99,98.79
940,125.96,254.93,63.93,62.76,71.77,10.78,36.41,149.13,24.48,98.58
941,123.47,252.94,64.62,62.37,71.8,10.48,35.8,151.24,24.41,98.07
942,124.69,259.11,64.34,62.12,73.0,10.62,35.97,139.91,24.37,99.84
943,124.51,263.17,62.95,61.74,72.96,10.63,35.21,134.07,24.6,98.94
944,128.66,268.76,62.92,62.94,74.01,10.96,36.68,136.33,24.68,96.85
945,128.99,276.0,61.72,63.18,68.32,11.01,36.6,140.75,25.29,88.18
946,129.69,277.31,62.49,64.42,68.86,11.22,37.25,141.1,25.45,85.73
947,125.5,268.63,63.55,62.25,69.79,10.96,36.37,146.45,24.78,88.84
948,124.56,268.4,64.44,61.95,69.24,10.92,36.58,149.44,24.99,87.98
949,125.2,272.59,64.26,60.58,69.23,10.91,36.69,155.59,24.59,87.38
950,128.01,278.11,63.85,62.08,69.05,11.24,37.18,161.44,25.25,87.44
951,128.43,275.67,63.71,61.77,68.72,11.19,37.26,162.56,25.57,85.84
952,129.81,272.71,64.56,62.22,67.89,11.39,37.74,163.05,25.21,83.59
953,128.07,270.33,64.42,62.08,68.94,11.47,37.27,167.24,24.73,86.91
954,126.95,273.9,64.26,62.5,69.65,11.45,37.6,169.59,24.81,88.23
955,126.39,272.65,64.6,62.63,69.28,11.47,36.92,151.6,24.83,86.76
956,125.77,272.0,63.9,62.35,71.18,11.54,37.33,156.63,25.04,88.45
957,126.82,271.81,62.24,63.11,71.12,11.68,38.33,151.9,25.96,89.3
958,123.28,272.65,62.3,61.33,69.03,11.67,37.3,151.27,25.44,88.54
959,118.24,268.22,61.4,59.04,67.14,11.04,35.86,148.2,25.08,87.57
960,118.5,271.48,60.76,58.53,65.82,10.98,35.43,151.77,25.43,87.59
961,115.6,269.25,59.43,56.1,66.12,10.62,34.32,148.44,25.1,88.69
962,114.55,261.93,59.29,56.54,67.01,10.81,34.77,148.0,25.17,89.26
963,112.8,262.13,59.15,55.87,68.78,10.53,34.37,150.39,25.4,90.1
964,114.63,263.2,59.6,57.83,69.59,11.09,35.72,153.88,25.63,91.83
965,112.12,262.0,58.85,57.54,70.22,11.05,35.43,159.05,25.71,90.83
966,108.07,256.67,58.64,55.93,68.82,10.71,34.17,152.55,25.51,88.02
967,108.12,257.56,58.92,55.51,69.17,10.66,34.02,150.73,25.53,88.12
968,107.12,270.33,59.49,54.91,68.66,10.46,33.19,152.48,25.98,85.46
969,106.39,270.91,61.31,54.99,71.14,10.35,33.05,153.21,25.92,88.92
970,105.42,272.21,61.49,54.29,68.59,10.32,33.11,157.31,26.05,85.72
971,101.22,263.56,60.79,52.29,68.64,9.82,31.82,160.81,25.76,83.18
972,100.87,264.98,60.75,52.56,68.98,9.73,31.79,157.42,26.09,83.74
973,99.3,261.21,60.02,52.36,67.56,9.47,31.23,163.86,25.71,81.94
974,99.77,266.14,61.22,52.22,68.41,9.65,31.47,168.86,25.56,83.03
975,99.16,264.03,61.99,51.57,69.04,9.76,31.71,161.19,25.59,82.85
976,103.84,265.63,60.99,52.77,67.21,10.24,33.05,164.28,25.47,78.75
977,106.48,268.05,61.66,54.32,69.11,10.56,33.8,161.05,25.76,80.61
978,107.81,279.72,62.72,54.47,67.94,10.35,34.07,163.19,26.83,80.96
979,110.66,278.77,62.43,56.39,68.12,10.75,35.84,161.1,26.93,80.19
980,112.59,281.55,62.13,57.32,68.36,11.08,36.6,166.33,27.21,81.53
981,113.43,286.89,62.81,57.13,67.64,10.78,36.14,170.14,28.17,80.95
982,115.05,294.39,62.67,57.87,67.86,10.9,36.15,173.61,28.65,83.45
983,116.39,290.14,63.02,57.59,67.26,10.95,36.29,178.52,28.15,83.57
984,116.32,289.47,63.94,57.09,67.36,10.81,36.09,184.12,27.48,84.51
985,116.56,290.51,64.65,56.53,68.38,10.88,36.36,192.18,28.22,86.08
986,117.1,292.29,63.89,58.08,71.89,11.26,36.84,196.45,28.04,89.9
987,119.15,291.62,64.53,58.79,72.4,11.25,37.0,202.17,28.23,91.97
988,116.21,291.12,64.16,58.48,73.43,11.22,36.55,209.23,27.95,93.01
989,115.06,289.98,63.65,57.83,73.18,11.14,36.37,215.15,28.09,92.46
990,114.8,286.38,62.82,57.8,72.38,11.32,37.2,223.79,27.87,92.1
991,121.32,292.38,64.55,62.48,74.2,12.44,39.87,230.22,28.57,95.32
992,121.4,295.04,65.15,63.64,74.09,12.61,40.41,229.51,28.2,94.73
993,117.43,289.17,64.15,62.04,74.77,12.13,38.96,228.47,28.25,97.87
994,120.27,288.12,62.95,64.32,74.25,12.64,40.14,224.73,28.22,97.24
995,120.54,284.45,62.73,63.98,76.34,12.62,40.26,223.96,28.01,99.91
996,122.74,289.33,63.82,64.37,75.77,12.77,40.19,232.97,28.62,97.88
